CD160,1252,28,2068,113,515,4,126,0,65,1,61,0,52,18
MT1JP,1252,38,2068,18,515,3,126,5,65,1,61,2,52,1
PHF20,1252,718,2068,1014,515,249,126,70,65,31,61,30,52,27
CPNE4,1252,2,2068,13,515,2,126,0,65,0,61,1,52,0
HNF1A-AS1,1252,802,2068,1697,515,411,126,103,65,42,61,37,52,41
GTPBP1,1252,817,2068,1267,515,282,126,74,65,34,61,33,52,33
RAB33B,1252,737,2068,1466,515,361,126,96,65,40,61,40,52,41
GLUD1P7,1252,803,2068,1693,515,392,126,101,65,46,61,39,52,43
ALDOC,1252,393,2068,222,515,24,126,25,65,3,61,5,52,6
ZNF212,1252,251,2068,146,515,30,126,6,65,3,61,10,52,0
NUDT1,1252,426,2068,226,515,38,126,31,65,2,61,18,52,2
FAM170B-AS1,1252,2,2068,7,515,1,126,0,65,0,61,0,52,0
RFPL2,1252,99,2068,25,515,2,126,1,65,1,61,1,52,0
ZNF83,1252,362,2068,534,515,125,126,34,65,27,61,24,52,14
IPW,1252,221,2068,94,515,21,126,3,65,3,61,5,52,3
MIR630,1252,0,2068,4,515,0,126,0,65,0,61,0,52,0
GDPD5,1252,206,2068,82,515,18,126,5,65,15,61,8,52,0
PDCD4,1252,815,2068,1515,515,347,126,81,65,41,61,35,52,37
CEP350,1252,891,2068,715,515,166,126,67,65,26,61,40,52,21
ARL14EPL,1252,0,2068,6,515,1,126,0,65,0,61,0,52,0
OR10A2,1252,5,2068,3,515,0,126,1,65,0,61,2,52,0
CST7,1252,51,2068,1285,515,12,126,18,65,1,61,1,52,45
SELL,1252,64,2068,843,515,383,126,50,65,9,61,4,52,11
CIAO1,1252,1166,2068,1721,515,419,126,107,65,54,61,49,52,42
SNORD115-26,1252,0,2068,0,515,0,126,0,65,0,61,0,52,0
RNF223,1252,0,2068,4,515,0,126,0,65,0,61,0,52,0
OR8J3,1252,1,2068,4,515,0,126,0,65,0,61,0,52,0
LTBP4,1252,418,2068,340,515,58,126,16,65,34,61,36,52,2
DCAF4L1,1252,68,2068,69,515,15,126,7,65,4,61,2,52,1
OR6C1,1252,1,2068,4,515,1,126,0,65,0,61,0,52,0
